Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
The Whittington Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119658,"Highgate Hill, London, Greater London, N19 5NF",Guy's and St Thomas' NHS Foundation Trust,N19 5NF,119658,The Whittington Hospital,NA,Requires Improvement,80%,94%,98%,NA,97%,77%,60%,NA,NA
University Hospital Lewisham,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99453,"Lewisham High Street, London, Greater London, SE13 6LH",Guy's and St Thomas' NHS Foundation Trust,SE13 6LH,99453,University Hospital Lewisham,NA,Requires Improvement,74%,98%,95%,NA,87%,69%,60%,NA,NA
Worthing Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119800,"Worthing Hospital, Lyndhurst Road, Worthing, West Sussex, BN11 2DH",Guy's and St Thomas' NHS Foundation Trust,BN11 2DH,119800,Worthing Hospital,NA,Outstanding,95%,NA,99%,NA,98%,94%,87%,NA,NA
Andover War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34445,"Charlton Road, Andover, Hampshire, SP10 3LB",Hampshire Hospitals NHS Foundation Trust,SP10 3LB,34445,Andover War Memorial Hospital,NA,Requires Improvement,94%,NA,99%,NA,95%,82%,57%,NA,NA
Basingstoke and North Hampshire Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=991,"Aldermaston Road, Basingstoke, Hampshire, RG24 9NA",Hampshire Hospitals NHS Foundation Trust,RG24 9NA,991,Basingstoke and North Hampshire Hospital,NA,Requires Improvement,86%,NA,97%,NA,95%,82%,57%,NA,NA
Lord Mayor Treloar Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128457,"Chawton Park Road, Alton, Hampshire, GU34 1RJ",Hampshire Hospitals NHS Foundation Trust,GU34 1RJ,128457,Lord Mayor Treloar Hospital,NA,NA,NA,NA,NA,NA,95%,82%,57%,NA,NA
Romsey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128672,"Winchester Hill, Romsey, Hampshire, SO51 7ZA",Hampshire Hospitals NHS Foundation Trust,SO51 7ZA,128672,Romsey Hospital,NA,No rating,NA,98%,NA,NA,NA,NA,NA,84%,NA
Royal Hampshire County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=34443,"Romsey Road, Winchester, Hampshire, SO22 5DG",Hampshire Hospitals NHS Foundation Trust,SO22 5DG,34443,Royal Hampshire County Hospital,NA,Requires Improvement,89%,NA,97%,NA,95%,82%,57%,NA,NA
Airedale General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99915,"Skipton Road, Steeton, Keighley, West Yorkshire, BD20 6TD",Harrogate and District NHS Foundation Trust,BD20 6TD,99915,Airedale General Hospital,NA,Requires Improvement,94%,100%,97%,NA,97%,87%,77%,NA,NA
Brompton House Day Hospital And Chidren's Development Centre,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=144799,"24 Brompton Road, Northallerton, North Yorkshire, DL6 1EA",Harrogate and District NHS Foundation Trust,DL6 1EA,144799,Brompton House Day Hospital And Chidren's Development Centre,NA,NA,NA,96%,NA,NA,95%,81%,65%,NA,NA
Chapel Street Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=144800,"6 Chapel Street, Thirsk, North Yorkshire, YO7 1LU",Harrogate and District NHS Foundation Trust,YO7 1LU,144800,Chapel Street Day Hospital,NA,NA,NA,96%,NA,NA,95%,81%,65%,NA,NA
Friarage Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113720,"Zetland House, Northallerton, North Yorkshire, DL6 1JG",Harrogate and District NHS Foundation Trust,DL6 1JG,113720,Friarage Hospital,NA,Requires Improvement,90%,NA,97%,NA,95%,79%,46%,NA,NA
Friary Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113761,"Queens Road, Richmond, North Yorkshire, DL10 4UJ",Harrogate and District NHS Foundation Trust,DL10 4UJ,113761,Friary Hospital,NA,NA,NA,NA,NA,NA,95%,79%,46%,NA,NA
Harrogate District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=587,"Lancaster Park Road, Harrogate, North Yorkshire, HG2 7SX",Harrogate and District NHS Foundation Trust,HG2 7SX,587,Harrogate District Hospital,NA,Good,94%,96%,96%,NA,95%,81%,65%,NA,NA
Hbss Leeds General Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119337,"Great George Street, Leeds, West Yorkshire, LS1 3EX",Harrogate and District NHS Foundation Trust,LS1 3EX,119337,Leeds General Infirmary,NA,Good,87%,NA,97%,NA,96%,88%,72%,NA,NA
Malton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113751,"Middlecave Road, Malton, North Yorkshire, YO17 7NG",Harrogate and District NHS Foundation Trust,YO17 7NG,113751,"Malton, Norton & District Hospital",NA,No rating,NA,96%,NA,NA,95%,83%,70%,NA,NA
Ripon and District Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=651,"Firby Lane, Ripon, North Yorkshire, HG4 2PR",Harrogate and District NHS Foundation Trust,HG4 2PR,651,Ripon and District Community Hospital,NA,No rating,NA,96%,NA,NA,95%,81%,65%,NA,NA
Scarborough Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113769,"Woodlands Drive, Scarborough, North Yorkshire, YO12 6QL",Harrogate and District NHS Foundation Trust,YO12 6QL,113769,Scarborough Hospital,NA,Requires Improvement,92%,96%,98%,NA,95%,83%,70%,NA,NA
Skipton General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113762,"Keighley Road, Skipton, North Yorkshire, BD23 2RJ",Harrogate and District NHS Foundation Trust,BD23 2RJ,113762,Skipton General Hospital,NA,No rating,NA,100%,NA,NA,97%,87%,77%,NA,NA
The New Selby War Memorial Hospital - Harrogate and District NHS Foundation Trust,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=592,"The New Selby War Memorial Hospital, Doncaster Road, Selby, North Yorkshire, YO8 9BX",Harrogate and District NHS Foundation Trust,YO8 9BX,592,The New Selby War Memorial Hospital - Harrogate and District NHS Foundation Trust,NA,NA,NA,96%,NA,NA,95%,81%,65%,NA,NA
Wharfedale Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=102432,"Newall Carr Road, Otley, West Yorkshire, LS21 2LY",Harrogate and District NHS Foundation Trust,LS21 2LY,102432,Wharfedale Hospital,NA,Good,NA,NA,97%,NA,96%,88%,72%,NA,NA
Whitecross Court Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113763,"1 Wilson Drive, York, North Yorkshire, YO31 8FT",Harrogate and District NHS Foundation Trust,YO31 8FT,113763,White Cross Rehabilitation Hospital,NA,NA,NA,96%,NA,NA,95%,83%,70%,NA,NA
Cheshunt Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115494,"King Arthur Court, Cheshunt, Waltham Cross, Hertfordshire, EN8 8XN",Hertfordshire Community NHS Trust,EN8 8XN,115494,Cheshunt Community Hospital,NA,NA,NA,NA,NA,NA,NA,80%,47%,NA,NA
Cheshunt Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=109103,"King Arthur Court, Waltham Cross, Hertfordshire, EN8 8XN",Hertfordshire Community NHS Trust,EN8 8XN,109103,Cheshunt Community Hospital,NA,NA,NA,96%,NA,NA,NA,80%,47%,91%,NA
Harpenden Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115379,"Carlton Road, Harpenden, Hertfordshire, AL5 4TA",Hertfordshire Community NHS Trust,AL5 4TA,115379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemel Hempstead General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100812,"Hemel Hempstead General Hospital, Hemel Hempstead, Hertfordshire, HP2 4AD",Hertfordshire Community NHS Trust,HP2 4AD,100812,Hemel Hempstead Hospital,NA,Requires Improvement,97%,NA,99%,NA,94%,59%,52%,NA,NA
Hertford County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115491,"North Road, Hertford, Hertfordshire, SG14 1LP",Hertfordshire Community NHS Trust,SG14 1LP,115491,Hertford County Hospital,NA,Good,NA,NA,NA,NA,96%,79%,53%,NA,NA
Herts & Essex Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101355,"Haymeads Lane, Oxford and Cambridge Wards, Bishop's Stortford, Hertfordshire, CM23 5JH",Hertfordshire Community NHS Trust,CM23 5JH,101355,Herts & Essex Hospital,NA,NA,NA,96%,NA,NA,NA,80%,47%,91%,NA
Lister Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151522,"Coreys Mill Lane, Stevenage, SG1 4AJ",Hertfordshire Community NHS Trust,SG1 4AJ,151522,Lister Hospital,NA,Requires Improvement,88%,NA,96%,NA,96%,79%,53%,NA,NA
Potters Bar Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=95050,"Oakmere Ward, Potters Bar, Hertfordshire, EN6 2RY",Hertfordshire Community NHS Trust,EN6 2RY,95050,Potters Bar Community Hospital,NA,NA,NA,96%,NA,NA,NA,80%,47%,91%,NA
Queen Victoria Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=96981,"School Lane, Welwyn, Hertfordshire, AL6 9PW",Hertfordshire Community NHS Trust,AL6 9PW,96981,Queen Victoria Memorial Hospital,NA,No rating,NA,96%,NA,NA,NA,80%,47%,91%,NA
Royston Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115490,"London Road, Royston, Hertfordshire, SG8 9EN",Hertfordshire Community NHS Trust,SG8 9EN,115490,Royston Hospital,NA,NA,NA,NA,NA,NA,96%,93%,74%,NA,NA
St Albans City Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151514,"Waverley Road, St. Albans, AL3 5PN",Hertfordshire Community NHS Trust,AL3 5PN,151514,St Albans City Hospital,NA,Inadequate,92%,NA,100%,NA,94%,59%,52%,NA,NA
Watford General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151513,"60 Vicarage Road, Watford, WD18 0HB",Hertfordshire Community NHS Trust,WD18 0HB,151513,Watford General Hospital,NA,Requires Improvement,93%,NA,95%,NA,94%,59%,52%,NA,NA
Kingsley Green,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100998,"Harper Lane, Shenley, Radlett, Hertfordshire, WD7 9HQ",Hertfordshire Partnership University NHS Foundation Trust,WD7 9HQ,100998,Kingsley Green,NA,NA,NA,NA,NA,NA,NA,80%,72%,80%,NA
Little Plumstead Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114933,"Little Plumstead Hospital, Hospital Road, Little Plumstead, Norwich, Norfolk, NR13 5EW",Hertfordshire Partnership University NHS Foundation Trust,NR13 5EW,114933,Little Plumstead Hospital,NA,NA,NA,NA,NA,NA,NA,80%,72%,NA,NA
Mental Health Service (Lister Hospital),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101028,"Mental Health Unit, Lister Hospital, Coreys Mill Lane, Stevenage, Hertfordshire, SG1 4AB",Hertfordshire Partnership University NHS Foundation Trust,SG1 4AB,101028,Lister Hospital,NA,Requires Improvement,88%,NA,96%,NA,96%,79%,53%,NA,NA
St Margaret's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114843,"The Plain, Epping, Essex, CM16 6TN",Hertfordshire Partnership University NHS Foundation Trust,CM16 6TN,114843,St Margaret's Hospital,NA,NA,NA,NA,NA,NA,NA,80%,72%,NA,NA
Homerton University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1837,"Homerton Row, Homerton Row, London, Greater London, E9 6SR",Homerton University Hospital NHS Foundation Trust,E9 6SR,1837,Homerton University Hospital,NA,Good,91%,85%,94%,NA,91%,86%,74%,NA,NA
St Leonard's,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=114199,"St Leonard's Hospital, Nuttall Street, London, N1 5LZ",Homerton University Hospital NHS Foundation Trust,N1 5LZ,114199,St Leonard's,NA,NA,NA,85%,NA,NA,91%,86%,74%,NA,NA
Teddington Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=92212,"Teddington Memorial Hospital, Hampton Road, Teddington, Middlesex, TW11 0JL",Hounslow and Richmond Community Healthcare NHS Trust,TW11 0JL,92212,Teddington Memorial Hospital,NA,NA,NA,96%,NA,NA,NA,88%,73%,NA,NA
Castle Hill Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1998,"Castle Road, Cottingham, HU16 5JQ",Hull University Teaching Hospitals NHS Trust,HU16 5JQ,1998,Castle Hill Hospital,NA,Good,NA,NA,100%,NA,97%,82%,68%,NA,NA
Hull Royal Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1745,"Anlaby Road, Hull, HU3 2JZ",Hull University Teaching Hospitals NHS Trust,HU3 2JZ,1745,Hull Royal Infirmary,NA,Requires Improvement,78%,NA,99%,NA,97%,82%,68%,NA,NA
"Malton, Norton & District Hospital",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116542,"Middlecave Road, Malton, North Yorkshire, YO17 7NG",Hull University Teaching Hospitals NHS Trust,YO17 7NG,116542,"Malton, Norton & District Hospital",NA,No rating,NA,96%,NA,NA,95%,83%,70%,NA,NA
Scarborough Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99887,"Woodlands Drive, Scarborough, North Yorkshire, YO12 6QL",Hull University Teaching Hospitals NHS Trust,YO12 6QL,99887,Scarborough Hospital,NA,Requires Improvement,92%,96%,98%,NA,95%,83%,70%,NA,NA
Scunthorpe General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99665,"Cliff Gardens, Scunthorpe, South Humberside, DN15 7BH",Hull University Teaching Hospitals NHS Trust,DN15 7BH,99665,Scunthorpe General Hospital,NA,Requires Improvement,78%,99%,98%,NA,94%,91%,82%,NA,NA
Spire Hull And East Riding Hospitals,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115690,"Lowfield Road, Anlaby, Hull, Yorkshire(East Riding), HU10 7AZ",Hull University Teaching Hospitals NHS Trust,HU10 7AZ,115690,Spire Hull and East Riding Hospital,NA,Good,NA,NA,99%,NA,96%,NA,NA,NA,NA
Spire Methley Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151578,"Methley Lane, Methley, Leeds, LS26 9HG",Hull University Teaching Hospitals NHS Trust,LS26 9HG,151578,Spire Methley Park Hospital,NA,Good,NA,NA,98%,NA,96%,NA,NA,NA,NA
Withernsea Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99662,"Queen Street, Withernsea, Yorkshire(East Riding), HU19 2QB",Hull University Teaching Hospitals NHS Trust,HU19 2QB,99662,Withernsea Hospital,NA,NA,NA,87%,NA,NA,NA,63%,46%,92%,NA
York Teaching Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116811,"Wigginton Road, York, North Yorkshire, YO31 8HE",Hull University Teaching Hospitals NHS Trust,YO31 8HE,116811,The York Hospital,NA,NA,73%,96%,97%,NA,95%,83%,70%,NA,NA
Alfred Bean Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3006,"Bridlington Road, Driffield, Yorkshire(East Riding), YO25 5JR",Humber Teaching NHS Foundation Trust,YO25 5JR,3006,Alfred Bean Hospital,NA,NA,NA,97%,NA,NA,NA,NA,NA,97%,NA
Avondale Assessment Unit and Psychiatric Intensive Care Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3127,"Gladstone Street, Anlaby Road, Hull, HU3 2RT",Humber Teaching NHS Foundation Trust,HU3 2RT,3127,Avondale Assessment Unit and Psychiatric Intensive Care Unit,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Coltman Street Day Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=116546,"39-42 Coltman Street, Hull, Yorkshire(East Riding), HU3 2SG",Humber Teaching NHS Foundation Trust,HU3 2SG,116546,Coltman Street Day Hospital,NA,NA,NA,87%,NA,NA,NA,63%,46%,92%,NA
Granville Court,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101725,"4 Granville Court, Hornsea, HU18 1NQ",Humber Teaching NHS Foundation Trust,HU18 1NQ,101725,Granville Court,NA,Good,NA,87%,NA,NA,NA,63%,46%,92%,NA
Hawthorne Court - Inpatient Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29107,"St Mary's Lane, Beverley, HU17 7AS",Humber Teaching NHS Foundation Trust,HU17 7AS,29107,Hawthorne Court - Inpatient Unit,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Humber Centre for Forensic Psychiatry,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101724,"Willerby Hill, Hull, Yorkshire(East Riding), HU10 6ED",Humber Teaching NHS Foundation Trust,HU10 6ED,101724,Humber Centre for Forensic Psychiatry,NA,NA,NA,87%,NA,NA,NA,63%,46%,92%,NA
Maister Lodge - Inpatient Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3128,"Hauxwell Road, Hull, HU8 0RB",Humber Teaching NHS Foundation Trust,HU8 0RB,3128,Maister Lodge - Inpatient Unit,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Malton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=141521,"Middlecave Road, Malton, North Yorkshire, YO17 7NG",Humber Teaching NHS Foundation Trust,YO17 7NG,141521,"Malton, Norton & District Hospital",NA,No rating,NA,96%,NA,NA,95%,83%,70%,NA,NA
Mill View Court - Inpatient Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101016,"Castle Hill, Castle Road, Cottingham, Yorkshire(East Riding), HU16 5JQ",Humber Teaching NHS Foundation Trust,HU16 5JQ,101016,Mill View Court - Inpatient Unit,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Newbridges - Inpatient Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3129,"Birkdale Way, Newbridge Road, Hull, HU9 2BH",Humber Teaching NHS Foundation Trust,HU9 2BH,3129,Newbridges - Inpatient Unit,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Townend Court,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29323,"296 Cottingham Road, Hull, HU6 8QG",Humber Teaching NHS Foundation Trust,HU6 8QG,29323,Townend Court,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Westlands - Inpatient Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=29112,"Wheeler Street, Hull, HU3 5QE",Humber Teaching NHS Foundation Trust,HU3 5QE,29112,Westlands - Inpatient Unit,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Whitby Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119728,"Springhill, Whitby, North Yorkshire, YO21 1DP",Humber Teaching NHS Foundation Trust,YO21 1DP,119728,Whitby Hospital,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
Withernsea Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2841,"Queen Street, Withernsea, North Humberside, HU19 2QB",Humber Teaching NHS Foundation Trust,HU19 2QB,2841,Withernsea Hospital,NA,NA,NA,87%,NA,NA,NA,63%,46%,92%,NA
Charing Cross Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1743,"Fulham Palace Road, London, W6 8RF",Imperial College Healthcare NHS Trust,W6 8RF,1743,Charing Cross Hospital,NA,Requires Improvement,92%,NA,96%,NA,95%,NA,NA,NA,NA
Hammersmith Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1928,"Du Cane Road, London, W12 0HS",Imperial College Healthcare NHS Trust,W12 0HS,1928,Hammersmith Hospital,NA,Requires Improvement,NA,NA,97%,NA,95%,NA,NA,NA,NA
Queen Charlotte's & Chelsea Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1340,"Du Cane Road, London, W12 0HS",Imperial College Healthcare NHS Trust,W12 0HS,1340,Queen Charlotte's & Chelsea Hospital,NA,Outstanding,NA,NA,NA,NA,95%,NA,NA,NA,NA
St Mary's Hospital (HQ),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1672,"Praed Street, London, W2 1NY",Imperial College Healthcare NHS Trust,W2 1NY,1672,St Mary's Hospital (HQ),NA,Requires Improvement,80%,NA,97%,NA,95%,NA,NA,NA,NA
Western Eye Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=987,"153-173 Marylebone Road, London, NW1 5QH",Imperial College Healthcare NHS Trust,NW1 5QH,987,Western Eye Hospital,NA,NA,95%,NA,98%,NA,95%,NA,NA,NA,NA
St Mary's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88902,"St. Mary's Hospital, Parkhurst Road, Newport, Isle of Wight, PO30 5TG",Isle Of Wight NHS Trust,PO30 5TG,88902,St Mary's Hospital,NA,Requires Improvement,NA,97%,99%,NA,97%,58%,53%,100%,100%
James Paget University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1088,"Lowestoft Road, Gorleston, Great Yarmouth, Norfolk, NR31 6LA",James Paget University Hospitals NHS Foundation Trust,NR31 6LA,1088,James Paget University Hospital,NA,Good,89%,NA,98%,NA,98%,90%,71%,NA,NA
Littlebrook Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2462,"Bow Arrow Lane, Stone, Dartford, Kent, DA2 6PB",Kent and Medway NHS and Social Care Partnership Trust,DA2 6PB,2462,Littlebrook Hospital,NA,NA,NA,NA,NA,NA,NA,73%,67%,95%,NA
Medway Maritime Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2441,"Windmill Road, Gillingham, Kent, ME7 5PA",Kent and Medway NHS and Social Care Partnership Trust,ME7 5PA,2441,Medway Maritime Hospital,NA,Requires Improvement,78%,NA,88%,NA,92%,68%,53%,NA,NA
Priority House,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2609,"Hermitage Lane, Maidstone, Kent, ME16 9QQ",Kent and Medway NHS and Social Care Partnership Trust,ME16 9QQ,2609,Priority House,NA,NA,NA,NA,NA,NA,NA,73%,67%,95%,NA
